"TIME","GEO","UNIT","PURPOSE","DURATION","PARTNER","EXPEND","Value","Flag and Footnotes"
"2012","Denmark","Thousand euro","Professional, business","1 night or over","Outbound","Total","1,874,358.31",""
"2012","Denmark","Thousand euro","Professional, business","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Germany (until 1990 former territory of the FRG)","Euro","Personal reasons","1 night or over","Domestic","Total",":",""
"2012","Germany (until 1990 former territory of the FRG)","Euro","Personal reasons","1 night or over","Domestic","Average expenditure per night","63.91",""
"2012","Germany (until 1990 former territory of the FRG)","Euro","Personal reasons","1 night or over","Outbound","Total",":",""
"2012","Germany (until 1990 former territory of the FRG)","Euro","Personal reasons","1 night or over","Outbound","Average expenditure per night","87.65",""
"2012","Germany (until 1990 former territory of the FRG)","Euro","Professional, business","1 night or over","Domestic","Total",":",""
"2012","Germany (until 1990 former territory of the FRG)","Euro","Professional, business","1 night or over","Domestic","Average expenditure per night","156.86",""
"2012","Germany (until 1990 former territory of the FRG)","Euro","Professional, business","1 night or over","Outbound","Total",":",""
"2012","Germany (until 1990 former territory of the FRG)","Euro","Professional, business","1 night or over","Outbound","Average expenditure per night","283.92",""
"2012","Germany (until 1990 former territory of the FRG)","Thousand euro","Personal reasons","1 night or over","Domestic","Total","31,066,614.08",""
"2012","Germany (until 1990 former territory of the FRG)","Thousand euro","Personal reasons","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Germany (until 1990 former territory of the FRG)","Thousand euro","Personal reasons","1 night or over","Outbound","Total","54,784,206.87",""
"2012","Germany (until 1990 former territory of the FRG)","Thousand euro","Personal reasons","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Germany (until 1990 former territory of the FRG)","Thousand euro","Professional, business","1 night or over","Domestic","Total","12,641,318.42",""
"2012","Germany (until 1990 former territory of the FRG)","Thousand euro","Professional, business","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Germany (until 1990 former territory of the FRG)","Thousand euro","Professional, business","1 night or over","Outbound","Total","17,693,520.37",""
"2012","Germany (until 1990 former territory of the FRG)","Thousand euro","Professional, business","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Estonia","Euro","Personal reasons","1 night or over","Domestic","Total",":",""
"2012","Estonia","Euro","Personal reasons","1 night or over","Domestic","Average expenditure per night","21.28",""
"2012","Estonia","Euro","Personal reasons","1 night or over","Outbound","Total",":",""
"2012","Estonia","Euro","Personal reasons","1 night or over","Outbound","Average expenditure per night","54.64",""
"2012","Estonia","Euro","Professional, business","1 night or over","Domestic","Total",":",""
"2012","Estonia","Euro","Professional, business","1 night or over","Domestic","Average expenditure per night","48",""
"2012","Estonia","Euro","Professional, business","1 night or over","Outbound","Total",":",""
"2012","Estonia","Euro","Professional, business","1 night or over","Outbound","Average expenditure per night","104.7",""
"2012","Estonia","Thousand euro","Personal reasons","1 night or over","Domestic","Total","95,531.7",""
"2012","Estonia","Thousand euro","Personal reasons","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Estonia","Thousand euro","Personal reasons","1 night or over","Outbound","Total","325,162.28",""
"2012","Estonia","Thousand euro","Personal reasons","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Estonia","Thousand euro","Professional, business","1 night or over","Domestic","Total","10,526.91",""
"2012","Estonia","Thousand euro","Professional, business","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Estonia","Thousand euro","Professional, business","1 night or over","Outbound","Total","101,411.95",""
"2012","Estonia","Thousand euro","Professional, business","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Ireland","Euro","Personal reasons","1 night or over","Domestic","Total",":",""
"2012","Ireland","Euro","Personal reasons","1 night or over","Domestic","Average expenditure per night","68.09",""
"2012","Ireland","Euro","Personal reasons","1 night or over","Outbound","Total",":",""
"2012","Ireland","Euro","Personal reasons","1 night or over","Outbound","Average expenditure per night","95.52",""
"2012","Ireland","Euro","Professional, business","1 night or over","Domestic","Total",":",""
"2012","Ireland","Euro","Professional, business","1 night or over","Domestic","Average expenditure per night","116.83",""
"2012","Ireland","Euro","Professional, business","1 night or over","Outbound","Total",":",""
"2012","Ireland","Euro","Professional, business","1 night or over","Outbound","Average expenditure per night","288.12",""
"2012","Ireland","Thousand euro","Personal reasons","1 night or over","Domestic","Total","1,172,078.74",""
"2012","Ireland","Thousand euro","Personal reasons","1 night or over","Domestic","Average expenditure per night",":",""
"2012","Ireland","Thousand euro","Personal reasons","1 night or over","Outbound","Total","3,952,718.97",""
"2012","Ireland","Thousand euro","Personal reasons","1 night or over","Outbound","Average expenditure per night",":",""
"2012","Ireland","Thousand euro","Professional, business","1 night or over","Domestic","Total","77,479.41",""
